,Date,sum(sum(sum(new_hospitalized_patients))),sum(sum(sum(cumulative_hospitalized_patients))),sum(sum(sum(current_hospitalized_patients))),sum(sum(sum(new_intensive_care_patients))),sum(sum(sum(cumulative_intensive_care_patients))),sum(sum(sum(current_intensive_care_patients))),sum(sum(sum(current_ventilator_patients))),Date,sum(new_persons_vaccinated),sum(cumulative_persons_vaccinated),sum(new_persons_fully_vaccinated),sum(cumulative_persons_fully_vaccinated),sum(new_vaccine_doses_administered),sum(cumulative_vaccine_doses_administered)
0,2021-01-27,6515,4271600,0,1231,742243,0,0,2021-01-27,160890,32588586,177742,19964753,338632,52553339
1,2022-01-31,559,455382,0,102,80044,0,0,2022-01-31,45085,39663948,79230,34788229,363848,87576885
2,2022-01-29,407,454419,0,91,79862,0,0,2022-01-29,43156,39586367,72603,34652659,371733,86897151
3,2021-01-18,6542,4212352,0,1287,730708,0,0,2021-01-18,188790,30961708,153404,18675898,342194,49637606
4,2021-01-25,6397,4258138,0,1292,739694,0,0,2021-01-25,154742,32240556,122224,19631940,276966,51872496
5,2022-01-09,1002,1364643,0,156,239480,0,0,2022-01-09,50814,85872553,98664,76280192,442613,194551088
6,2022-01-15,1129,1371673,0,202,240646,0,0,2022-01-15,29787,45639498,58075,40355250,235787,101617136
7,2022-01-18,1043,1374879,0,187,241191,0,0,2022-01-18,62394,45767471,120207,40597469,482309,102592517
8,2022-01-10,1224,1365867,0,212,239692,0,0,2022-01-10,82678,85955231,135841,76416033,686196,195237284
9,2022-01-08,949,1363641,0,172,239324,0,0,2022-01-08,57583,85821739,105633,76181528,494027,194108475
10,2022-01-24,951,914049,0,155,160522,0,0,2022-01-24,31408,45889299,60548,40831613,233060,103495458
11,2022-01-23,745,913098,0,125,160367,0,0,2022-01-23,30550,45857891,60217,40771065,240250,103262398
12,2021-01-05,6751,4124931,0,1391,713928,0,0,2021-01-05,201962,28730622,155420,16667351,357382,45397973
13,2022-01-16,1008,1372681,0,172,240818,0,0,2022-01-16,29654,45669152,57584,40412834,242217,101859353
14,2021-01-19,6868,4219220,0,1363,732071,0,0,2021-01-19,203245,31164953,144050,18819948,347295,49984901
15,2022-01-13,1027,1369247,0,162,240230,0,0,2022-01-13,22396,45593879,39909,40270635,176547,101274083
16,2021-01-24,6134,4251741,0,1175,738402,0,0,2021-01-24,155731,32085814,123090,19509716,278821,51595530
17,2021-01-22,6718,4239091,0,1325,735979,0,0,2021-01-22,204968,31718717,125261,19256129,330229,50974846
18,2021-01-23,6516,4245607,0,1248,737227,0,0,2021-01-23,211366,31930083,130497,19386626,341863,51316709
19,2022-01-06,961,1361547,0,149,238961,0,0,2022-01-06,11597,5503472,14181,4747444,25778,10250916
20,2021-01-09,6681,4152032,0,1221,719136,0,0,2021-01-09,191442,29472956,158633,17307684,350075,46780640
21,2021-01-01,6729,4097578,0,1299,708671,0,0,2021-01-01,179612,27977260,161233,16015156,340845,43992416
22,2022-01-03,1161,1358492,0,196,238420,0,0,2022-01-03,62370,85645833,113559,75871822,476421,192711540
23,2021-01-26,6947,4265085,0,1318,741012,0,0,2021-01-26,187140,32427696,155071,19787011,342211,52214707
24,2021-01-30,6110,4027514,0,1200,702912,0,0,2021-01-30,180613,33010296,172505,20411102,353118,53421398
25,2022-01-25,885,914934,0,154,160676,0,0,2022-01-25,26497,45915796,50290,40881903,188479,103683937
26,2021-01-07,6728,4138524,0,1279,716579,0,0,2021-01-07,184667,29089647,179333,17035724,364000,46125371
27,2022-01-30,404,454823,0,80,79942,0,0,2022-01-30,32496,39618863,56340,34708999,315886,87213037
28,2022-01-07,1145,1362692,0,191,239152,0,0,2022-01-07,28100,85764156,49821,76075895,266639,193614448
29,2021-01-03,6902,4111373,0,1308,711285,0,0,2021-01-03,186317,28341795,165405,16358332,351722,44700127
30,2022-01-22,836,912353,0,134,160242,0,0,2022-01-22,27973,45827341,55362,40710848,215259,103022148
31,2022-01-04,1112,1359604,0,202,238622,0,0,2022-01-04,56936,85702769,105787,75977609,453073,193164613
32,2020-01-30,7701,1206451,0,1259,185006,0,0,2020-01-30,2760,5622,0,0,2760,5622
33,2021-01-21,6529,4232373,0,1236,734654,0,0,2021-01-21,175085,31513749,141891,19130868,316976,50644617
34,2022-01-17,1155,1373836,0,186,241004,0,0,2022-01-17,35925,45705077,64428,40477262,250855,102110208
35,2022-01-28,659,917093,0,117,161052,0,0,2022-01-28,52992,79888599,92761,70659892,417022,180074325
36,2022-01-20,902,1376738,0,186,241563,0,0,2022-01-20,5383,5591678,7877,4861407,13260,10453085
37,2021-01-04,6807,4118180,0,1252,712537,0,0,2021-01-04,186865,28528660,153599,16511931,340464,45040591
38,2021-01-16,6428,4199197,0,1239,728180,0,0,2021-01-16,163004,30621004,163300,18341224,326304,48962228
39,2021-01-31,3858,2517802,0,714,438106,0,0,2021-01-31,105462,20059014,87869,12198166,193331,32257180
40,2021-01-10,6858,4158890,0,1346,720482,0,0,2021-01-10,175583,29648539,141687,17449371,317270,47097910
41,2020-01-31,4192,725346,0,679,111477,0,0,2020-01-31,378,6000,0,0,378,6000
42,2022-01-05,982,1360586,0,190,238812,0,0,2022-01-05,21690,45321018,34284,39805384,157418,99240852
43,2022-01-14,1297,1370544,0,214,240444,0,0,2022-01-14,15832,45609711,26540,40297175,107266,101381349
44,2022-01-19,957,1375836,0,186,241377,0,0,2022-01-19,16050,45783521,30141,40627610,122957,102715474
45,2021-01-15,6655,4192769,0,1301,726941,0,0,2021-01-15,177529,30458000,159271,18177924,336800,48635924
46,2021-01-29,6196,4021404,0,1180,701712,0,0,2021-01-29,195227,32829683,156618,20238597,351845,53068280
47,2021-01-11,6390,4165280,0,1210,721692,0,0,2021-01-11,145370,29793909,124140,17573511,269510,47367420
48,2022-01-12,1111,1368220,0,168,240068,0,0,2022-01-12,37741,45571483,65769,40230726,284446,101097536
49,2021-01-08,6827,4145351,0,1336,717915,0,0,2021-01-08,191867,29281514,113327,17149051,305194,46430565
50,2021-01-02,6893,4104471,0,1306,709977,0,0,2021-01-02,178218,28155478,177771,16192927,355989,44348405
51,2021-01-12,7053,4172333,0,1361,723053,0,0,2021-01-12,169732,29963641,134706,17708217,304438,47671858
52,2022-01-01,936,1356228,0,153,238049,0,0,2022-01-01,49617,85516607,88173,75644247,420642,191692097
53,2021-01-14,6829,4186114,0,1268,725640,0,0,2021-01-14,162413,30280471,144779,18018653,307192,48299124
54,2021-01-13,6952,4179285,0,1319,724372,0,0,2021-01-13,154417,30118058,165657,17873874,320074,47991932
55,2022-01-21,947,1377685,0,165,241728,0,0,2022-01-21,10464,45799368,19999,40655486,78155,102806889
56,2021-01-17,6613,4205810,0,1241,729421,0,0,2021-01-17,151914,30772918,181270,18522494,333184,49295412
57,2022-01-11,1242,1367109,0,208,239900,0,0,2022-01-11,45103,45533742,79806,40164957,349328,100813090
58,2020-01-29,7912,1198788,0,1248,183754,0,0,2020-01-29,2862,2862,0,0,2862,2862
59,2022-01-26,789,915723,0,142,160818,0,0,2022-01-26,26353,45942149,55452,40937355,227671,103911608
60,2022-01-02,1103,1357331,0,175,238224,0,0,2022-01-02,66856,85583463,114016,75758263,543022,192235119
61,2021-01-20,6624,4225844,0,1347,733418,0,0,2021-01-20,173711,31338664,169029,18988977,342740,50327641
62,2021-01-28,6778,4278378,0,1330,743573,0,0,2021-01-28,179414,32768000,160187,20124940,339601,52892940
63,2021-01-06,6865,4131796,0,1372,715300,0,0,2021-01-06,174358,28904980,189040,16856391,363398,45761371
64,2022-01-27,711,916434,0,117,160935,0,0,2022-01-27,57536,79835607,103466,70567131,480622,179657303
