,Date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,current_ventilator_patients,Date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered
0,2021-01-27,AR,579,248829,0,111,40216,0,0,2021-01-27,AR,9720,5428856,18189,4640500,27909,10069356
1,2021-01-27,AR,579,248829,0,111,40216,0,0,2021-01-27,AR,4955,5249159,10174,4244260,15129,9493419
2,2021-01-27,AR,579,248829,0,111,40216,0,0,2021-01-27,AR,33435,4859247,13441,3713918,46876,8573165
3,2021-01-27,AR,579,248829,0,111,40216,0,0,2021-01-27,AR,7475,4237360,32112,3153091,39587,7390451
4,2021-01-27,AR,579,248829,0,111,40216,0,0,2021-01-27,AR,11027,4014991,54610,2044934,65637,6059925
5,2021-01-27,AR,579,248829,0,111,40216,0,0,2021-01-27,AR,29746,3529582,33243,926087,62989,4455669
6,2021-01-27,AR,579,248829,0,111,40216,0,0,2021-01-27,AR,20902,2346737,2904,584528,23806,2931265
7,2021-01-27,AR,579,248829,0,111,40216,0,0,2021-01-27,AR,11545,1326469,10742,380910,22287,1707379
8,2021-01-27,AR,579,248829,0,111,40216,0,0,2021-01-27,AR,21410,988431,740,129174,22150,1117605
9,2021-01-27,AR,579,248829,0,111,40216,0,0,2021-01-27,AR,8064,435557,454,96544,8518,532101
10,2021-01-27,AR,579,248829,0,111,40216,0,0,2021-01-27,AR,2054,132951,280,42911,2334,175862
11,2021-01-27,AR,579,248829,0,111,40216,0,0,2021-01-27,AR,557,39246,853,7896,1410,47142
12,2021-01-27,AR,385,262759,0,75,42974,0,0,2021-01-27,AR,9720,5428856,18189,4640500,27909,10069356
13,2021-01-27,AR,385,262759,0,75,42974,0,0,2021-01-27,AR,4955,5249159,10174,4244260,15129,9493419
14,2021-01-27,AR,385,262759,0,75,42974,0,0,2021-01-27,AR,33435,4859247,13441,3713918,46876,8573165
15,2021-01-27,AR,385,262759,0,75,42974,0,0,2021-01-27,AR,7475,4237360,32112,3153091,39587,7390451
16,2021-01-27,AR,385,262759,0,75,42974,0,0,2021-01-27,AR,11027,4014991,54610,2044934,65637,6059925
17,2021-01-27,AR,385,262759,0,75,42974,0,0,2021-01-27,AR,29746,3529582,33243,926087,62989,4455669
18,2021-01-27,AR,385,262759,0,75,42974,0,0,2021-01-27,AR,20902,2346737,2904,584528,23806,2931265
19,2021-01-27,AR,385,262759,0,75,42974,0,0,2021-01-27,AR,11545,1326469,10742,380910,22287,1707379
20,2021-01-27,AR,385,262759,0,75,42974,0,0,2021-01-27,AR,21410,988431,740,129174,22150,1117605
21,2021-01-27,AR,385,262759,0,75,42974,0,0,2021-01-27,AR,8064,435557,454,96544,8518,532101
22,2021-01-27,AR,385,262759,0,75,42974,0,0,2021-01-27,AR,2054,132951,280,42911,2334,175862
23,2021-01-27,AR,385,262759,0,75,42974,0,0,2021-01-27,AR,557,39246,853,7896,1410,47142
24,2021-01-27,AR,454,276082,0,94,45567,0,0,2021-01-27,AR,9720,5428856,18189,4640500,27909,10069356
25,2021-01-27,AR,454,276082,0,94,45567,0,0,2021-01-27,AR,4955,5249159,10174,4244260,15129,9493419
26,2021-01-27,AR,454,276082,0,94,45567,0,0,2021-01-27,AR,33435,4859247,13441,3713918,46876,8573165
27,2021-01-27,AR,454,276082,0,94,45567,0,0,2021-01-27,AR,7475,4237360,32112,3153091,39587,7390451
28,2021-01-27,AR,454,276082,0,94,45567,0,0,2021-01-27,AR,11027,4014991,54610,2044934,65637,6059925
29,2021-01-27,AR,454,276082,0,94,45567,0,0,2021-01-27,AR,29746,3529582,33243,926087,62989,4455669
30,2021-01-27,AR,454,276082,0,94,45567,0,0,2021-01-27,AR,20902,2346737,2904,584528,23806,2931265
31,2021-01-27,AR,454,276082,0,94,45567,0,0,2021-01-27,AR,11545,1326469,10742,380910,22287,1707379
32,2021-01-27,AR,454,276082,0,94,45567,0,0,2021-01-27,AR,21410,988431,740,129174,22150,1117605
33,2021-01-27,AR,454,276082,0,94,45567,0,0,2021-01-27,AR,8064,435557,454,96544,8518,532101
34,2021-01-27,AR,454,276082,0,94,45567,0,0,2021-01-27,AR,2054,132951,280,42911,2334,175862
35,2021-01-27,AR,454,276082,0,94,45567,0,0,2021-01-27,AR,557,39246,853,7896,1410,47142
36,2021-01-27,AR,922,300954,0,208,50763,0,0,2021-01-27,AR,9720,5428856,18189,4640500,27909,10069356
37,2021-01-27,AR,922,300954,0,208,50763,0,0,2021-01-27,AR,4955,5249159,10174,4244260,15129,9493419
