,Date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,current_ventilator_patients,Date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,Date_string
0,2021-01-01,AR,450,233586,0,87,37363,0,0,2021-01-01,AR,15,6015,0,0,15,6015,2021-01-01
1,2021-01-02,AR,575,234161,0,105,37468,0,0,2021-01-02,AR,410,6425,0,0,410,6425,2021-01-02
2,2021-01-03,AR,504,234665,0,89,37557,0,0,2021-01-03,AR,52,6477,0,0,52,6477,2021-01-03
3,2021-01-04,AR,759,235424,0,106,37663,0,0,2021-01-04,AR,1465,7942,1,1,1466,7943,2021-01-04
4,2021-01-05,AR,650,236074,0,113,37776,0,0,2021-01-05,AR,1514,9456,0,1,1514,9457,2021-01-05
5,2021-01-06,AR,680,236754,0,127,37903,0,0,2021-01-06,AR,1451,10907,0,1,1451,10908,2021-01-06
6,2021-01-07,AR,649,237403,0,100,38003,0,0,2021-01-07,AR,2483,13390,2,3,2485,13393,2021-01-07
7,2021-01-08,AR,622,238025,0,112,38115,0,0,2021-01-08,AR,3818,17208,2,5,3820,17213,2021-01-08
8,2021-01-09,AR,553,238578,0,97,38212,0,0,2021-01-09,AR,1420,18628,0,5,1420,18633,2021-01-09
9,2021-01-10,AR,557,239135,0,95,38307,0,0,2021-01-10,AR,172,18800,0,5,172,18805,2021-01-10
10,2021-01-11,AR,619,239754,0,116,38423,0,0,2021-01-11,AR,2644,21444,1,6,2645,21450,2021-01-11
11,2021-01-12,AR,626,240380,0,124,38547,0,0,2021-01-12,AR,2621,24065,0,6,2621,24071,2021-01-12
12,2021-01-13,AR,678,241058,0,131,38678,0,0,2021-01-13,AR,2155,26220,0,6,2155,26226,2021-01-13
13,2021-01-14,AR,611,241669,0,97,38775,0,0,2021-01-14,AR,2243,28463,0,6,2243,28469,2021-01-14
14,2021-01-15,AR,574,242243,0,116,38891,0,0,2021-01-15,AR,2440,30903,2,8,2442,30911,2021-01-15
15,2021-01-16,AR,516,242759,0,98,38989,0,0,2021-01-16,AR,840,31743,0,8,840,31751,2021-01-16
16,2021-01-17,AR,486,243245,0,87,39076,0,0,2021-01-17,AR,143,31886,1,9,144,31895,2021-01-17
17,2021-01-18,AR,556,243801,0,95,39171,0,0,2021-01-18,AR,1438,33324,2,11,1440,33335,2021-01-18
18,2021-01-19,AR,597,244398,0,121,39292,0,0,2021-01-19,AR,1146,34470,742,753,1888,35223,2021-01-19
19,2021-01-20,AR,606,245004,0,130,39422,0,0,2021-01-20,AR,849,35319,1936,2689,2785,38008,2021-01-20
20,2021-01-21,AR,672,245676,0,144,39566,0,0,2021-01-21,AR,687,36006,1271,3960,1958,39966,2021-01-21
21,2021-01-22,AR,524,246200,0,94,39660,0,0,2021-01-22,AR,731,36737,526,4486,1257,41223,2021-01-22
22,2021-01-23,AR,428,246628,0,100,39760,0,0,2021-01-23,AR,165,36902,426,4912,591,41814,2021-01-23
23,2021-01-24,AR,394,247022,0,89,39849,0,0,2021-01-24,AR,11,36913,30,4942,41,41855,2021-01-24
24,2021-01-25,AR,622,247644,0,126,39975,0,0,2021-01-25,AR,1059,37972,1032,5974,2091,43946,2021-01-25
25,2021-01-26,AR,606,248250,0,130,40105,0,0,2021-01-26,AR,717,38689,1069,7043,1786,45732,2021-01-26
26,2021-01-27,AR,579,248829,0,111,40216,0,0,2021-01-27,AR,557,39246,853,7896,1410,47142,2021-01-27
27,2021-01-28,AR,501,249330,0,108,40324,0,0,2021-01-28,AR,229,39475,2062,9958,2291,49433,2021-01-28
28,2021-01-29,AR,529,249859,0,110,40434,0,0,2021-01-29,AR,197,39672,3090,13048,3287,52720,2021-01-29
29,2021-01-30,AR,391,250250,0,76,40510,0,0,2021-01-30,AR,20,39692,1148,14196,1168,53888,2021-01-30
30,2021-01-31,AR,369,250619,0,79,40589,0,0,2021-01-31,AR,2,39694,94,14290,96,53984,2021-01-31
31,2021-02-01,AR,526,251145,0,104,40693,0,0,2021-02-01,AR,279,39973,2317,16607,2596,56580,2021-02-01
32,2021-02-02,AR,519,251664,0,112,40805,0,0,2021-02-02,AR,711,40684,2591,19198,3302,59882,2021-02-02
33,2021-02-03,AR,572,252236,0,108,40913,0,0,2021-02-03,AR,1459,42143,2356,21554,3815,63697,2021-02-03
34,2021-02-04,AR,460,252696,0,95,41008,0,0,2021-02-04,AR,1402,43545,2573,24127,3975,67672,2021-02-04
35,2021-02-05,AR,494,253190,0,109,41117,0,0,2021-02-05,AR,1949,45494,2706,26833,4655,72327,2021-02-05
36,2021-02-06,AR,429,253619,0,116,41233,0,0,2021-02-06,AR,458,45952,1095,27928,1553,73880,2021-02-06
37,2021-02-07,AR,399,254018,0,70,41303,0,0,2021-02-07,AR,68,46020,111,28039,179,74059,2021-02-07
38,2021-02-08,AR,513,254531,0,89,41392,0,0,2021-02-08,AR,2262,48282,1043,29082,3305,77364,2021-02-08
39,2021-02-09,AR,517,255048,0,74,41466,0,0,2021-02-09,AR,2022,50304,805,29887,2827,80191,2021-02-09
40,2021-02-10,AR,482,255530,0,106,41572,0,0,2021-02-10,AR,1570,51874,681,30568,2251,82442,2021-02-10
41,2021-02-11,AR,443,255973,0,94,41666,0,0,2021-02-11,AR,603,52477,1925,32493,2528,84970,2021-02-11
42,2021-02-12,AR,499,256472,0,82,41748,0,0,2021-02-12,AR,593,53070,1646,34139,2239,87209,2021-02-12
43,2021-02-13,AR,383,256855,0,85,41833,0,0,2021-02-13,AR,56,53126,393,34532,449,87658,2021-02-13
44,2021-02-14,AR,367,257222,0,74,41907,0,0,2021-02-14,AR,4,53130,19,34551,23,87681,2021-02-14
