,Date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,current_ventilator_patients,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested
0,2021-01-27,AR,579,248829,0,111,40216,0,0,557,39246,853,7896,1410,47142,9885,189,0,42395,1933339,51014,0,5366199
1,2021-06-22,AR,1032,358785,0,232,63625,0,0,37123,2178242,5912,553012,43035,2731254,24812,481,0,65542,4386233,97414,0,12863431
2,2021-08-27,AR,418,402979,0,67,72051,0,0,11027,4014991,54610,2044934,65637,6059925,4904,111,0,61945,5206506,114213,0,16622269
3,2021-10-11,AR,234,417483,0,24,73963,0,0,2124,4332416,7629,3466938,9753,7799354,529,18,0,20384,5288249,116389,0,18300927
4,2021-11-13,AR,195,425624,0,23,74921,0,0,5297,5155152,9007,3956411,14304,9111563,985,9,0,20332,5325207,116765,0,19315072
5,2021-12-18,AR,173,433286,0,34,76005,0,0,3064,5389375,7814,4559723,10878,9949098,4450,14,0,31362,5410404,117265,0,20338152
6,2021-10-02,AR,200,415256,0,26,73705,0,0,3938,4275104,23379,3315079,27317,7590183,600,23,0,21705,5281887,116246,0,18061361
7,2021-11-25,AR,292,428269,0,37,75289,0,0,7934,5235712,23376,4211100,31310,9446812,2095,15,0,31258,5342351,116900,0,19626182
8,2021-04-29,AR,922,302899,0,209,51181,0,0,17509,1025626,4330,136588,21839,1162214,23507,450,0,69405,3029903,68597,0,9481098
9,2021-05-12,AR,1075,314749,0,229,53848,0,0,7309,1168906,20708,246691,28017,1415597,26798,451,0,64507,3306719,74563,0,10203537
10,2021-07-20,AR,712,381171,0,145,68145,0,0,33660,3284021,29674,826091,63334,4110112,14404,294,0,62205,4848674,107293,0,14445747
11,2021-07-30,AR,642,387787,0,117,69348,0,0,30958,3628241,29429,1013415,60387,4641656,13566,216,0,66237,4979313,109689,0,15030428
12,2021-09-14,AR,341,410035,0,38,73066,0,0,6370,4144108,32958,2754984,39328,6899092,2099,51,0,47766,5257721,115640,0,17409892
13,2021-07-17,AR,624,379078,0,141,67723,0,0,32769,3183145,12876,779885,45645,3963030,9880,292,0,44300,4812623,106439,0,14293189
14,2021-04-24,AR,825,298257,0,178,50123,0,0,12736,936219,176,127614,12912,1063833,17887,397,0,41754,2921099,66355,0,9185328
15,2021-07-23,AR,703,383348,0,137,68535,0,0,45393,3420480,12601,862162,57994,4282642,14841,275,0,63441,4890876,108095,0,14635873
16,2021-09-11,AR,264,408970,0,41,72938,0,0,3505,4130425,24193,2685734,27698,6816159,1436,50,0,33087,5252438,115443,0,17294515
17,2021-02-15,AR,388,257610,0,65,41972,0,0,150,53280,27,34578,177,87858,3889,142,0,30062,2060283,53838,0,6085770
18,2021-12-05,AR,174,430416,0,28,75578,0,0,2690,5308371,6341,4373643,9031,9682014,1092,14,0,15345,5361013,117045,0,19886114
19,2021-03-22,AR,537,273448,0,99,45027,0,0,10681,383165,1896,90334,12577,473499,10048,144,0,41243,2288194,58116,0,7311008
