,Date,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,current_ventilator_patients
0,2021-01-01,450,233586,0,87,37363,0,0
1,2021-01-02,575,234161,0,105,37468,0,0
2,2021-01-03,504,234665,0,89,37557,0,0
3,2021-01-04,759,235424,0,106,37663,0,0
4,2021-01-05,650,236074,0,113,37776,0,0
5,2021-01-06,680,236754,0,127,37903,0,0
6,2021-01-07,649,237403,0,100,38003,0,0
7,2021-01-08,622,238025,0,112,38115,0,0
8,2021-01-09,553,238578,0,97,38212,0,0
9,2021-01-10,557,239135,0,95,38307,0,0
10,2021-01-11,619,239754,0,116,38423,0,0
11,2021-01-12,626,240380,0,124,38547,0,0
12,2021-01-13,678,241058,0,131,38678,0,0
13,2021-01-14,611,241669,0,97,38775,0,0
14,2021-01-15,574,242243,0,116,38891,0,0
15,2021-01-16,516,242759,0,98,38989,0,0
16,2021-01-17,486,243245,0,87,39076,0,0
17,2021-01-18,556,243801,0,95,39171,0,0
18,2021-01-19,597,244398,0,121,39292,0,0
19,2021-01-20,606,245004,0,130,39422,0,0
20,2021-01-21,672,245676,0,144,39566,0,0
21,2021-01-22,524,246200,0,94,39660,0,0
22,2021-01-23,428,246628,0,100,39760,0,0
23,2021-01-24,394,247022,0,89,39849,0,0
24,2021-01-25,622,247644,0,126,39975,0,0
25,2021-01-26,606,248250,0,130,40105,0,0
26,2021-01-27,579,248829,0,111,40216,0,0
27,2021-01-28,501,249330,0,108,40324,0,0
28,2021-01-29,529,249859,0,110,40434,0,0
29,2021-01-30,391,250250,0,76,40510,0,0
30,2021-01-31,369,250619,0,79,40589,0,0
31,2021-02-01,526,251145,0,104,40693,0,0
32,2021-02-02,519,251664,0,112,40805,0,0
33,2021-02-03,572,252236,0,108,40913,0,0
34,2021-02-04,460,252696,0,95,41008,0,0
35,2021-02-05,494,253190,0,109,41117,0,0
36,2021-02-06,429,253619,0,116,41233,0,0
37,2021-02-07,399,254018,0,70,41303,0,0
38,2021-02-08,513,254531,0,89,41392,0,0
39,2021-02-09,517,255048,0,74,41466,0,0
40,2021-02-10,482,255530,0,106,41572,0,0
41,2021-02-11,443,255973,0,94,41666,0,0
42,2021-02-12,499,256472,0,82,41748,0,0
43,2021-02-13,383,256855,0,85,41833,0,0
44,2021-02-14,367,257222,0,74,41907,0,0
45,2021-02-15,388,257610,0,65,41972,0,0
46,2021-02-16,390,258000,0,90,42062,0,0
47,2021-02-17,454,258454,0,81,42143,0,0
48,2021-02-18,444,258898,0,99,42242,0,0
49,2021-02-19,460,259358,0,92,42334,0,0
50,2021-02-20,334,259692,0,74,42408,0,0
51,2021-02-21,366,260058,0,69,42477,0,0
52,2021-02-22,469,260527,0,83,42560,0,0
53,2021-02-23,461,260988,0,91,42651,0,0
54,2021-02-24,473,261461,0,95,42746,0,0
55,2021-02-25,475,261936,0,82,42828,0,0
56,2021-02-26,438,262374,0,71,42899,0,0
57,2021-02-27,385,262759,0,75,42974,0,0
58,2021-02-28,411,263170,0,67,43041,0,0
59,2021-03-01,573,263743,0,97,43138,0,0
60,2021-03-02,495,264238,0,65,43203,0,0
61,2021-03-03,497,264735,0,106,43309,0,0
62,2021-03-04,505,265240,0,97,43406,0,0
63,2021-03-05,418,265658,0,62,43468,0,0
64,2021-03-06,353,266011,0,66,43534,0,0
65,2021-03-07,330,266341,0,72,43606,0,0
66,2021-03-08,495,266836,0,100,43706,0,0
67,2021-03-09,459,267295,0,93,43799,0,0
68,2021-03-10,538,267833,0,99,43898,0,0
69,2021-03-11,476,268309,0,88,43986,0,0
70,2021-03-12,479,268788,0,102,44088,0,0
71,2021-03-13,390,269178,0,98,44186,0,0
72,2021-03-14,400,269578,0,83,44269,0,0
73,2021-03-15,546,270124,0,110,44379,0,0
74,2021-03-16,522,270646,0,93,44472,0,0
75,2021-03-17,502,271148,0,100,44572,0,0
76,2021-03-18,477,271625,0,84,44656,0,0
77,2021-03-19,497,272122,0,101,44757,0,0
78,2021-03-20,416,272538,0,88,44845,0,0
79,2021-03-21,373,272911,0,83,44928,0,0
80,2021-03-22,537,273448,0,99,45027,0,0
81,2021-03-23,589,274037,0,97,45124,0,0
82,2021-03-24,441,274478,0,96,45220,0,0
83,2021-03-25,597,275075,0,133,45353,0,0
84,2021-03-26,553,275628,0,120,45473,0,0
85,2021-03-27,454,276082,0,94,45567,0,0
86,2021-03-28,493,276575,0,93,45660,0,0
87,2021-03-29,601,277176,0,120,45780,0,0
88,2021-03-30,613,277789,0,136,45916,0,0
89,2021-03-31,625,278414,0,103,46019,0,0
90,2021-04-01,584,278998,0,146,46165,0,0
91,2021-04-02,488,279486,0,123,46288,0,0
92,2021-04-03,526,280012,0,123,46411,0,0
93,2021-04-04,609,280621,0,123,46534,0,0
94,2021-04-05,798,281419,0,164,46698,0,0
95,2021-04-06,804,282223,0,154,46852,0,0
96,2021-04-07,798,283021,0,159,47011,0,0
97,2021-04-08,804,283825,0,166,47177,0,0
98,2021-04-09,771,284596,0,140,47317,0,0
99,2021-04-10,727,285323,0,169,47486,0,0
100,2021-04-11,687,286010,0,137,47623,0,0
101,2021-04-12,919,286929,0,194,47817,0,0
102,2021-04-13,966,287895,0,198,48015,0,0
103,2021-04-14,1013,288908,0,188,48203,0,0
104,2021-04-15,929,289837,0,177,48380,0,0
105,2021-04-16,1026,290863,0,196,48576,0,0
106,2021-04-17,846,291709,0,185,48761,0,0
107,2021-04-18,796,292505,0,177,48938,0,0
108,2021-04-19,1019,293524,0,216,49154,0,0
109,2021-04-20,991,294515,0,212,49366,0,0
110,2021-04-21,999,295514,0,196,49562,0,0
111,2021-04-22,995,296509,0,209,49771,0,0
112,2021-04-23,923,297432,0,174,49945,0,0
113,2021-04-24,825,298257,0,178,50123,0,0
114,2021-04-25,759,299016,0,178,50301,0,0
115,2021-04-26,1016,300032,0,254,50555,0,0
116,2021-04-27,922,300954,0,208,50763,0,0
117,2021-04-28,1023,301977,0,209,50972,0,0
118,2021-04-29,922,302899,0,209,51181,0,0
119,2021-04-30,863,303762,0,189,51370,0,0
120,2021-05-01,763,304525,0,174,51544,0,0
121,2021-05-02,803,305328,0,188,51732,0,0
122,2021-05-03,1027,306355,0,221,51953,0,0
123,2021-05-04,846,307201,0,175,52128,0,0
124,2021-05-05,969,308170,0,230,52358,0,0
125,2021-05-06,902,309072,0,215,52573,0,0
126,2021-05-07,934,310006,0,206,52779,0,0
127,2021-05-08,834,310840,0,205,52984,0,0
128,2021-05-09,773,311613,0,166,53150,0,0
129,2021-05-10,1063,312676,0,241,53391,0,0
130,2021-05-11,998,313674,0,228,53619,0,0
131,2021-05-12,1075,314749,0,229,53848,0,0
132,2021-05-13,1050,315799,0,209,54057,0,0
133,2021-05-14,987,316786,0,213,54270,0,0
134,2021-05-15,935,317721,0,210,54480,0,0
135,2021-05-16,903,318624,0,190,54670,0,0
136,2021-05-17,1195,319819,0,221,54891,0,0
137,2021-05-18,1148,320967,0,261,55152,0,0
138,2021-05-19,1232,322199,0,280,55432,0,0
139,2021-05-20,1222,323421,0,292,55724,0,0
140,2021-05-21,1116,324537,0,261,55985,0,0
141,2021-05-22,1045,325582,0,257,56242,0,0
142,2021-05-23,942,326524,0,213,56455,0,0
143,2021-05-24,1112,327636,0,246,56701,0,0
144,2021-05-25,1163,328799,0,284,56985,0,0
145,2021-05-26,1332,330131,0,252,57237,0,0
146,2021-05-27,1314,331445,0,245,57482,0,0
147,2021-05-28,1287,332732,0,303,57785,0,0
148,2021-05-29,1104,333836,0,262,58047,0,0
149,2021-05-30,1014,334850,0,271,58318,0,0
150,2021-05-31,1293,336143,0,262,58580,0,0
151,2021-06-01,1292,337435,0,277,58857,0,0
152,2021-06-02,1257,338692,0,281,59138,0,0
153,2021-06-03,1257,339949,0,250,59388,0,0
154,2021-06-04,1231,341180,0,259,59647,0,0
155,2021-06-05,977,342157,0,264,59911,0,0
156,2021-06-06,968,343125,0,233,60144,0,0
157,2021-06-07,1181,344306,0,247,60391,0,0
158,2021-06-08,1170,345476,0,246,60637,0,0
159,2021-06-09,1163,346639,0,265,60902,0,0
160,2021-06-10,1168,347807,0,251,61153,0,0
161,2021-06-11,996,348803,0,222,61375,0,0
162,2021-06-12,925,349728,0,223,61598,0,0
163,2021-06-13,853,350581,0,212,61810,0,0
164,2021-06-14,1053,351634,0,214,62024,0,0
165,2021-06-15,987,352621,0,218,62242,0,0
166,2021-06-16,933,353554,0,206,62448,0,0
167,2021-06-17,916,354470,0,209,62657,0,0
168,2021-06-18,931,355401,0,200,62857,0,0
169,2021-06-19,791,356192,0,175,63032,0,0
170,2021-06-20,728,356920,0,192,63224,0,0
171,2021-06-21,833,357753,0,169,63393,0,0
172,2021-06-22,1032,358785,0,232,63625,0,0
173,2021-06-23,976,359761,0,211,63836,0,0
174,2021-06-24,911,360672,0,179,64015,0,0
175,2021-06-25,819,361491,0,174,64189,0,0
176,2021-06-26,785,362276,0,156,64345,0,0
177,2021-06-27,644,362920,0,149,64494,0,0
178,2021-06-28,895,363815,0,203,64697,0,0
179,2021-06-29,855,364670,0,167,64864,0,0
180,2021-06-30,955,365625,0,197,65061,0,0
181,2021-07-01,846,366471,0,160,65221,0,0
182,2021-07-02,858,367329,0,162,65383,0,0
183,2021-07-03,679,368008,0,141,65524,0,0
184,2021-07-04,687,368695,0,145,65669,0,0
185,2021-07-05,922,369617,0,186,65855,0,0
186,2021-07-06,918,370535,0,186,66041,0,0
187,2021-07-07,891,371426,0,173,66214,0,0
188,2021-07-08,817,372243,0,162,66376,0,0
189,2021-07-09,732,372975,0,143,66519,0,0
190,2021-07-10,669,373644,0,142,66661,0,0
191,2021-07-11,666,374310,0,125,66786,0,0
192,2021-07-12,967,375277,0,180,66966,0,0
193,2021-07-13,875,376152,0,141,67107,0,0
194,2021-07-14,862,377014,0,174,67281,0,0
195,2021-07-15,732,377746,0,164,67445,0,0
196,2021-07-16,708,378454,0,137,67582,0,0
197,2021-07-17,624,379078,0,141,67723,0,0
198,2021-07-18,559,379637,0,112,67835,0,0
199,2021-07-19,822,380459,0,165,68000,0,0
200,2021-07-20,712,381171,0,145,68145,0,0
201,2021-07-21,748,381919,0,113,68258,0,0
202,2021-07-22,726,382645,0,140,68398,0,0
203,2021-07-23,703,383348,0,137,68535,0,0
204,2021-07-24,603,383951,0,101,68636,0,0
205,2021-07-25,505,384456,0,108,68744,0,0
206,2021-07-26,768,385224,0,139,68883,0,0
207,2021-07-27,652,385876,0,132,69015,0,0
208,2021-07-28,653,386529,0,107,69122,0,0
209,2021-07-29,616,387145,0,109,69231,0,0
210,2021-07-30,642,387787,0,117,69348,0,0
211,2021-07-31,545,388332,0,121,69469,0,0
212,2021-08-01,454,388786,0,96,69565,0,0
213,2021-08-02,778,389564,0,126,69691,0,0
214,2021-08-03,719,390283,0,126,69817,0,0
215,2021-08-04,661,390944,0,113,69930,0,0
216,2021-08-05,595,391539,0,118,70048,0,0
217,2021-08-06,627,392166,0,125,70173,0,0
218,2021-08-07,538,392704,0,106,70279,0,0
219,2021-08-08,474,393178,0,105,70384,0,0
220,2021-08-09,617,393795,0,107,70491,0,0
221,2021-08-10,630,394425,0,113,70604,0,0
222,2021-08-11,597,395022,0,95,70699,0,0
223,2021-08-12,565,395587,0,104,70803,0,0
224,2021-08-13,504,396091,0,84,70887,0,0
225,2021-08-14,465,396556,0,94,70981,0,0
226,2021-08-15,439,396995,0,95,71076,0,0
227,2021-08-16,473,397468,0,91,71167,0,0
228,2021-08-17,621,398089,0,89,71256,0,0
